STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
         44;202408101730;    3;  -999;  -999;   0.000;-999;eor
         44;202408101740;    3;  -999;  -999;   0.000;-999;eor
         44;202408101750;    3;  -999;  -999;   0.000;-999;eor
         44;202408101800;    3;  -999;  -999;   0.000;-999;eor
         44;202408101810;    3;  -999;  -999;   0.000;-999;eor
         44;202408101820;    3;  -999;  -999;   0.000;-999;eor
         44;202408101830;    3;  -999;  -999;   0.000;-999;eor
         44;202408101840;    3;  -999;  -999;   0.000;-999;eor
         44;202408101850;    3;  -999;  -999;   0.000;-999;eor
         44;202408101900;    3;  -999;  -999;   0.000;-999;eor
         44;202408101910;    3;  -999;  -999;   0.000;-999;eor
         44;202408101920;    3;  -999;  -999;   0.000;-999;eor
         44;202408101930;    3;  -999;  -999;   0.000;-999;eor
         44;202408101940;    3;  -999;  -999;   0.000;-999;eor
         44;202408101950;    3;  -999;  -999;   0.000;-999;eor
         44;202408102000;    3;  -999;  -999;   0.000;-999;eor
         44;202408102010;    3;  -999;  -999;   0.000;-999;eor
         44;202408102020;    3;  -999;  -999;   0.000;-999;eor
         44;202408102030;    3;  -999;  -999;   0.000;-999;eor
         44;202408102040;    3;  -999;  -999;   0.000;-999;eor
         44;202408102050;    3;  -999;  -999;   0.000;-999;eor
         44;202408102100;    3;  -999;  -999;   0.000;-999;eor
         44;202408102110;    3;  -999;  -999;   0.000;-999;eor
         44;202408102120;    3;  -999;  -999;   0.000;-999;eor
         44;202408102130;    3;  -999;  -999;   0.000;-999;eor
         44;202408102140;    3;  -999;  -999;   0.000;-999;eor
         44;202408102150;    3;  -999;  -999;   0.000;-999;eor
         44;202408102200;    3;  -999;  -999;   0.000;-999;eor
         44;202408102210;    3;  -999;  -999;   0.000;-999;eor
         44;202408102220;    3;  -999;  -999;   0.000;-999;eor
         44;202408102230;    3;  -999;  -999;   0.000;-999;eor
         44;202408102240;    3;  -999;  -999;   0.000;-999;eor
         44;202408102250;    3;  -999;  -999;   0.000;-999;eor
         44;202408102300;    3;  -999;  -999;   0.000;-999;eor
         44;202408102310;    3;  -999;  -999;   0.000;-999;eor
         44;202408102320;    3;  -999;  -999;   0.000;-999;eor
         44;202408102330;    3;  -999;  -999;   0.000;-999;eor
         44;202408102340;    3;  -999;  -999;   0.000;-999;eor
         44;202408102350;    3;  -999;  -999;   0.000;-999;eor
         44;202408110000;    3;  -999;  -999;   0.000;-999;eor
         44;202408110010;    3;  -999;  -999;   0.000;-999;eor
         44;202408110020;    3;  -999;  -999;   0.000;-999;eor
         44;202408110030;    3;  -999;  -999;   0.000;-999;eor
         44;202408110040;    3;  -999;  -999;   0.000;-999;eor
         44;202408110050;    3;  -999;  -999;   0.000;-999;eor
         44;202408110100;    3;  -999;  -999;   0.000;-999;eor
         44;202408110110;    3;  -999;  -999;   0.000;-999;eor
         44;202408110120;    3;  -999;  -999;   0.000;-999;eor
         44;202408110130;    3;  -999;  -999;   0.000;-999;eor
         44;202408110140;    3;  -999;  -999;   0.000;-999;eor
         44;202408110150;    3;  -999;  -999;   0.000;-999;eor
         44;202408110200;    3;  -999;  -999;   0.000;-999;eor
         44;202408110210;    3;  -999;  -999;   0.000;-999;eor
         44;202408110220;    3;  -999;  -999;   0.000;-999;eor
         44;202408110230;    3;  -999;  -999;   0.000;-999;eor
         44;202408110240;    3;  -999;  -999;   0.000;-999;eor
         44;202408110250;    3;  -999;  -999;   0.000;-999;eor
         44;202408110300;    3;  -999;  -999;   0.000;-999;eor
         44;202408110310;    3;  -999;  -999;   0.000;-999;eor
         44;202408110320;    3;  -999;  -999;   0.000;-999;eor
         44;202408110330;    3;  -999;  -999;   0.000;-999;eor
         44;202408110340;    3;  -999;  -999;   0.000;-999;eor
         44;202408110350;    3;  -999;  -999;   0.000;-999;eor
         44;202408110400;    3;  -999;  -999;   0.000;-999;eor
         44;202408110410;    3;  -999;  -999;   0.000;-999;eor
         44;202408110420;    3;  -999;  -999;   0.000;-999;eor
         44;202408110430;    3;  -999;  -999;   0.000;-999;eor
         44;202408110440;    3;  -999;  -999;   0.000;-999;eor
         44;202408110450;    3;  -999;  -999;   0.000;-999;eor
         44;202408110500;    3;  -999;  -999;   0.000;-999;eor
         44;202408110510;    3;  -999;  -999;   0.133;-999;eor
         44;202408110520;    3;  -999;  -999;   0.167;-999;eor
         44;202408110530;    3;  -999;  -999;   0.167;-999;eor
         44;202408110540;    3;  -999;  -999;   0.167;-999;eor
         44;202408110550;    3;  -999;  -999;   0.167;-999;eor
         44;202408110600;    3;  -999;  -999;   0.167;-999;eor
         44;202408110610;    3;  -999;  -999;   0.167;-999;eor
         44;202408110620;    3;  -999;  -999;   0.167;-999;eor
         44;202408110630;    3;  -999;  -999;   0.167;-999;eor
         44;202408110640;    3;  -999;  -999;   0.150;-999;eor
         44;202408110650;    3;  -999;  -999;   0.167;-999;eor
         44;202408110700;    3;  -999;  -999;   0.167;-999;eor
         44;202408110710;    3;  -999;  -999;   0.167;-999;eor
         44;202408110720;    3;  -999;  -999;   0.167;-999;eor
         44;202408110730;    3;  -999;  -999;   0.167;-999;eor
         44;202408110740;    3;  -999;  -999;   0.167;-999;eor
         44;202408110750;    3;  -999;  -999;   0.167;-999;eor
         44;202408110800;    3;  -999;  -999;   0.167;-999;eor
         44;202408110810;    3;  -999;  -999;   0.167;-999;eor
         44;202408110820;    3;  -999;  -999;   0.167;-999;eor
         44;202408110830;    3;  -999;  -999;   0.133;-999;eor
         44;202408110840;    3;  -999;  -999;   0.083;-999;eor
         44;202408110850;    3;  -999;  -999;   0.083;-999;eor
         44;202408110900;    3;  -999;  -999;   0.017;-999;eor
         44;202408110910;    3;  -999;  -999;   0.083;-999;eor
         44;202408110920;    3;  -999;  -999;   0.167;-999;eor
         44;202408110930;    3;  -999;  -999;   0.033;-999;eor
         44;202408110940;    3;  -999;  -999;   0.083;-999;eor
         44;202408110950;    3;  -999;  -999;   0.067;-999;eor
         44;202408111000;    3;  -999;  -999;   0.067;-999;eor
         44;202408111010;    3;  -999;  -999;   0.150;-999;eor
         44;202408111020;    3;  -999;  -999;   0.133;-999;eor
         44;202408111030;    3;  -999;  -999;   0.133;-999;eor
         44;202408111040;    3;  -999;  -999;   0.050;-999;eor
         44;202408111050;    3;  -999;  -999;   0.150;-999;eor
         44;202408111100;    3;  -999;  -999;   0.167;-999;eor
         44;202408111110;    3;  -999;  -999;   0.167;-999;eor
         44;202408111120;    3;  -999;  -999;   0.133;-999;eor
         44;202408111130;    3;  -999;  -999;   0.133;-999;eor
         44;202408111140;    3;  -999;  -999;   0.167;-999;eor
         44;202408111150;    3;  -999;  -999;   0.167;-999;eor
         44;202408111200;    3;  -999;  -999;   0.150;-999;eor
         44;202408111210;    3;  -999;  -999;   0.100;-999;eor
         44;202408111220;    3;  -999;  -999;   0.167;-999;eor
         44;202408111230;    3;  -999;  -999;   0.150;-999;eor
         44;202408111240;    3;  -999;  -999;   0.167;-999;eor
         44;202408111250;    3;  -999;  -999;   0.050;-999;eor
         44;202408111300;    3;  -999;  -999;   0.000;-999;eor
         44;202408111310;    3;  -999;  -999;   0.033;-999;eor
         44;202408111320;    3;  -999;  -999;   0.017;-999;eor
         44;202408111330;    3;  -999;  -999;   0.133;-999;eor
         44;202408111340;    3;  -999;  -999;   0.167;-999;eor
         44;202408111350;    3;  -999;  -999;   0.167;-999;eor
         44;202408111400;    3;  -999;  -999;   0.167;-999;eor
         44;202408111410;    3;  -999;  -999;   0.167;-999;eor
         44;202408111420;    3;  -999;  -999;   0.167;-999;eor
         44;202408111430;    3;  -999;  -999;   0.117;-999;eor
         44;202408111440;    3;  -999;  -999;   0.017;-999;eor
         44;202408111450;    3;  -999;  -999;   0.033;-999;eor
         44;202408111500;    3;  -999;  -999;   0.133;-999;eor
         44;202408111510;    3;  -999;  -999;   0.167;-999;eor
         44;202408111520;    3;  -999;  -999;   0.167;-999;eor
         44;202408111530;    3;  -999;  -999;   0.167;-999;eor
         44;202408111540;    3;  -999;  -999;   0.117;-999;eor
         44;202408111550;    3;  -999;  -999;   0.083;-999;eor
         44;202408111600;    3;  -999;  -999;   0.167;-999;eor
         44;202408111610;    3;  -999;  -999;   0.167;-999;eor
         44;202408111620;    3;  -999;  -999;   0.167;-999;eor
         44;202408111630;    3;  -999;  -999;   0.167;-999;eor
         44;202408111640;    3;  -999;  -999;   0.167;-999;eor
         44;202408111650;    3;  -999;  -999;   0.167;-999;eor
         44;202408111700;    3;  -999;  -999;   0.167;-999;eor
         44;202408111710;    3;  -999;  -999;   0.167;-999;eor
         44;202408111720;    3;  -999;  -999;   0.167;-999;eor
         44;202408111730;    3;  -999;  -999;   0.167;-999;eor
